"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department","salary"
"146",0.41,0.46,2,151,3,0,1,0,"product_mng","low"
"153",0.37,0.52,2,143,3,0,1,0,"marketing","low"
"155",0.39,0.48,2,160,3,0,1,0,"sales","low"
"157",0.83,1,5,240,5,0,1,0,"support","low"
"161",0.1,0.95,7,301,4,0,1,0,"marketing","low"
"162",0.9,0.98,5,243,6,0,1,0,"marketing","low"
"164",0.79,0.89,5,239,5,0,1,0,"sales","low"
"168",0.31,0.54,5,132,5,0,1,0,"sales","low"
"171",0.81,0.99,4,259,5,0,1,0,"sales","low"
"174",0.1,0.88,6,284,4,0,1,0,"sales","low"
"176",0.54,0.74,4,164,2,0,1,0,"sales","low"
"181",0.4,0.47,2,146,3,0,1,0,"sales","medium"
"183",0.89,0.99,5,257,5,0,1,0,"accounting","medium"
"184",0.11,0.8,6,285,4,0,1,0,"accounting","medium"
"186",0.4,0.46,2,127,3,0,1,0,"hr","medium"
"188",0.4,0.46,2,143,3,0,1,0,"hr","medium"
"193",0.74,0.91,4,232,5,0,1,0,"technical","medium"
"201",0.9,0.82,5,259,5,0,1,0,"support","low"
"204",0.1,0.93,6,256,4,0,1,0,"support","low"
"206",0.38,0.5,2,153,3,0,1,0,"support","low"
"211",0.43,0.46,2,156,3,0,1,0,"technical","low"
"213",0.88,1,5,219,5,0,1,0,"technical","low"
"215",0.4,0.53,2,151,3,0,1,0,"IT","low"
"222",0.37,0.5,2,135,3,0,1,0,"product_mng","low"
"226",0.9,0.97,4,258,5,0,1,0,"accounting","low"
"227",0.37,0.46,2,158,3,0,1,0,"hr","low"
"229",0.85,0.95,5,236,5,0,1,0,"hr","low"
"230",0.78,0.98,5,239,6,0,1,0,"marketing","low"
"233",0.11,0.83,6,244,4,0,1,0,"accounting","low"
"235",0.48,0.57,4,270,4,0,1,0,"technical","low"
"241",0.1,0.87,7,289,4,0,1,0,"sales","low"
"244",0.4,0.5,2,128,3,0,1,0,"sales","low"
"245",0.89,0.86,5,275,5,0,1,0,"sales","low"
"246",0.45,0.46,2,155,3,0,1,0,"sales","low"
"251",0.79,0.87,5,261,5,0,1,0,"sales","low"
"255",0.6,0.92,2,258,5,0,1,0,"sales","low"
"261",0.46,0.46,2,154,3,0,1,0,"accounting","medium"
"265",0.42,0.5,2,139,3,0,1,0,"hr","medium"
"269",0.38,0.56,2,156,3,0,1,0,"technical","low"
"271",0.44,0.51,2,127,3,0,1,0,"technical","medium"
"272",0.11,0.84,6,251,4,0,1,0,"technical","medium"
"273",0.81,0.93,5,270,5,0,1,0,"technical","medium"
"275",0.11,0.9,6,254,4,0,1,0,"technical","low"
"277",0.1,0.97,6,267,4,1,1,0,"support","low"
"282",0.27,0.56,3,301,3,0,1,0,"support","low"
"286",0.4,0.56,2,148,3,0,1,0,"support","low"
"289",0.82,0.91,5,232,5,0,1,0,"technical","low"
"293",0.41,0.49,2,146,3,0,1,0,"IT","low"
"295",0.1,0.93,6,253,4,0,1,0,"IT","medium"
"301",0.45,0.55,2,151,3,0,1,0,"IT","medium"
"304",0.37,0.55,2,127,3,0,1,0,"RandD","medium"
"305",0.89,0.87,5,255,5,0,1,0,"RandD","medium"
"309",0.41,0.48,2,145,3,0,1,0,"accounting","medium"
"313",0.4,0.54,2,139,3,0,1,0,"marketing","low"
"319",0.11,0.94,6,276,4,0,1,0,"sales","low"
"332",0.11,0.85,7,302,4,0,1,0,"sales","low"
"333",0.09,0.98,6,271,4,0,1,0,"sales","low"
"339",0.39,0.5,2,142,3,0,1,0,"hr","medium"
"340",0.1,0.91,6,246,4,0,1,0,"hr","medium"
"341",0.09,0.89,7,308,5,0,1,0,"hr","medium"
"342",0.37,0.47,2,141,3,0,1,0,"technical","medium"
"343",0.9,1,5,232,5,0,1,0,"technical","medium"
"348",0.11,0.8,6,282,4,0,1,0,"technical","medium"
"354",0.43,0.57,2,135,3,0,1,0,"support","low"
"356",0.41,0.57,2,136,3,0,1,0,"support","low"
"357",0.41,0.55,2,154,3,0,1,0,"support","low"
"369",0.82,0.86,5,243,5,0,1,0,"IT","low"
"371",0.37,0.45,2,142,3,0,1,0,"IT","low"
"378",0.44,0.56,2,158,3,0,1,0,"accounting","medium"
"389",0.45,0.5,2,157,3,0,1,0,"marketing","medium"
"390",0.42,0.57,2,154,3,1,1,0,"marketing","medium"
"391",0.78,1,4,253,5,0,1,0,"marketing","low"
"392",0.45,0.55,2,148,3,0,1,0,"sales","low"
"398",0.09,0.79,6,293,5,0,1,0,"sales","low"
"400",0.1,0.87,6,250,4,0,1,0,"sales","low"
"405",0.76,0.87,5,245,5,0,1,0,"sales","low"
"406",0.47,0.5,4,254,4,0,1,0,"sales","low"
"410",0.82,0.98,4,233,5,0,1,0,"sales","low"
"412",0.84,0.99,4,262,6,0,1,0,"accounting","medium"
"417",0.82,1,4,229,6,0,1,0,"hr","medium"
"420",0.82,0.85,4,223,5,0,1,0,"technical","medium"
"421",0.09,0.96,6,268,4,0,1,0,"technical","medium"
"425",0.45,0.46,2,130,3,0,1,0,"technical","low"
"432",0.41,0.57,2,160,3,0,1,0,"support","low"
"433",0.44,0.51,2,150,3,0,1,0,"support","low"
"436",0.41,0.47,2,135,3,0,1,0,"support","low"
"438",0.43,0.53,2,160,3,0,1,0,"support","low"
"439",0.77,0.9,4,237,5,0,1,0,"support","low"
"443",0.77,1,5,229,5,0,1,0,"management","low"
"447",0.44,0.46,2,143,3,0,1,0,"IT","low"
"452",0.85,0.98,5,248,5,0,1,0,"product_mng","medium"
"455",0.09,0.97,7,254,4,1,1,0,"RandD","medium"
"456",0.44,0.53,2,127,3,0,1,0,"RandD","medium"
"458",0.77,1,4,255,5,0,1,0,"RandD","medium"
"459",0.41,0.48,2,136,3,0,1,0,"marketing","medium"
"461",0.43,0.49,2,135,3,0,1,0,"accounting","medium"
"466",0.37,0.54,2,152,3,0,1,0,"marketing","medium"
"468",0.09,0.95,6,292,4,0,1,0,"sales","medium"
"476",0.45,0.57,2,134,3,0,1,0,"sales","low"
"480",0.11,0.96,7,277,5,0,1,0,"sales","low"
"482",0.1,0.79,6,274,4,0,1,0,"sales","low"
"483",0.77,0.87,4,242,6,0,1,0,"sales","low"
"484",0.42,0.54,2,143,3,1,1,0,"sales","low"
"485",0.38,0.52,2,145,3,0,1,0,"sales","low"
"487",0.38,0.49,2,135,3,0,1,0,"accounting","low"
"489",0.1,0.83,7,276,4,0,1,0,"accounting","low"
"490",0.76,0.88,4,206,4,0,1,0,"hr","medium"
"494",0.1,0.94,6,309,4,0,1,0,"technical","medium"
"498",0.59,0.49,7,263,4,0,1,0,"technical","medium"
"506",0.11,0.97,6,289,5,0,1,0,"support","medium"
"509",0.38,0.55,2,158,3,0,1,0,"support","low"
"517",0.1,0.89,6,247,4,0,1,0,"technical","low"
"520",0.39,0.51,2,129,3,0,1,0,"IT","low"
"521",0.87,0.94,4,274,5,0,1,0,"IT","low"
"524",0.74,0.82,4,239,6,0,1,0,"IT","low"
"530",0.39,0.57,2,145,3,0,1,0,"accounting","medium"
"532",0.37,0.54,2,131,3,1,1,0,"hr","medium"
"533",0.1,0.84,6,246,4,0,1,0,"hr","medium"
"536",0.37,0.56,2,156,3,0,1,0,"sales","medium"
"537",0.11,0.85,6,305,4,0,1,0,"accounting","medium"
"540",0.11,0.94,7,244,4,0,1,0,"management","medium"
"542",0.81,0.87,4,254,5,0,1,0,"marketing","low"
"544",0.89,0.92,5,237,5,0,1,0,"sales","medium"
"548",0.37,0.5,2,141,3,0,1,0,"sales","low"
"550",0.41,0.47,2,138,3,0,1,0,"sales","low"
"551",0.11,0.96,6,298,4,0,1,0,"sales","low"
"555",0.43,0.53,2,150,3,0,1,0,"sales","low"
"560",0.11,0.8,7,296,4,0,1,0,"sales","low"
"561",0.09,0.86,6,279,4,0,1,0,"sales","low"
"563",0.4,0.57,2,160,3,0,1,0,"accounting","low"
"565",0.41,0.53,2,157,3,0,1,0,"accounting","low"
"569",0.44,0.51,2,134,3,0,1,0,"hr","medium"
"571",0.44,0.52,2,137,3,0,1,0,"technical","medium"
"573",0.75,0.97,5,243,6,0,1,0,"technical","medium"
"574",0.36,0.47,2,148,3,0,1,0,"technical","medium"
"576",0.39,0.49,2,129,3,0,1,0,"technical","medium"
"577",0.48,0.78,2,198,2,0,1,0,"technical","medium"
"583",0.74,0.87,5,242,5,0,1,0,"support","medium"
"586",0.4,0.51,2,139,3,0,1,0,"support","low"
"589",0.87,0.9,5,258,5,0,1,0,"support","low"
"590",0.39,0.54,2,155,3,0,1,0,"support","low"
"596",0.09,0.87,5,263,4,0,1,0,"IT","low"
"605",0.11,0.79,6,292,4,0,1,0,"IT","low"
"609",0.45,0.49,2,134,3,0,1,0,"RandD","medium"
"611",0.09,0.95,7,256,4,0,1,0,"marketing","medium"
"615",0.09,0.9,7,296,4,0,1,0,"technical","medium"
"617",0.39,0.49,2,144,3,0,1,0,"marketing","medium"
"620",0.43,0.51,2,141,3,0,1,0,"sales","low"
"628",0.41,0.46,2,156,3,1,1,0,"sales","low"
"633",0.11,0.89,6,260,5,0,1,0,"sales","low"
"642",0.74,0.97,4,228,5,0,1,0,"hr","low"
"643",0.73,0.97,5,235,5,0,1,0,"hr","low"
"645",0.58,0.62,4,238,3,0,1,0,"hr","low"
"648",0.46,0.5,2,151,3,0,1,0,"technical","medium"
"651",0.39,0.45,2,134,3,0,1,0,"technical","medium"
"653",0.09,0.77,6,290,4,0,1,0,"technical","medium"
"655",0.1,0.89,7,308,4,0,1,0,"technical","medium"
"657",0.79,0.86,5,235,5,0,1,0,"support","medium"
"661",0.44,0.5,2,130,3,0,1,0,"support","medium"
"664",0.1,0.79,6,256,5,0,1,0,"support","low"
"667",0.46,0.62,6,213,3,0,1,0,"support","low"
"669",0.1,0.92,6,258,4,0,1,0,"technical","low"
"673",0.46,0.57,2,154,3,0,1,0,"IT","low"
"676",0.43,0.57,2,127,3,0,1,0,"IT","low"
"677",0.11,0.82,6,270,4,0,1,0,"product_mng","low"
"678",0.73,0.89,5,236,6,0,1,0,"product_mng","low"
"689",0.09,0.82,6,257,4,0,1,0,"accounting","medium"
"695",0.78,0.71,3,249,5,0,1,0,"marketing","medium"
"697",0.1,0.81,7,291,4,0,1,0,"sales","high"
"701",0.46,0.54,2,143,3,0,1,0,"sales","medium"
"702",0.89,0.82,4,243,5,0,1,0,"sales","medium"
"703",0.45,0.5,2,147,3,0,1,0,"sales","low"
"707",0.79,0.93,4,226,5,0,1,0,"sales","low"
"709",0.11,0.87,6,255,4,0,1,0,"sales","low"
"711",0.64,0.9,6,252,2,0,1,0,"sales","low"
"715",0.4,0.51,2,144,3,0,1,0,"accounting","low"
"717",0.43,0.47,2,131,3,0,1,0,"accounting","low"
"721",0.42,0.49,2,139,3,0,1,0,"hr","low"
"722",0.31,0.87,4,184,3,0,1,0,"technical","low"
"723",0.44,0.47,2,130,3,0,1,0,"technical","low"
"726",0.43,0.46,2,149,3,0,1,0,"technical","medium"
"728",0.43,0.57,2,160,3,0,1,0,"technical","medium"
"734",0.38,0.45,2,129,3,0,1,0,"support","medium"
"735",0.11,0.92,7,255,4,0,1,0,"support","medium"
"743",0.44,0.49,2,154,3,0,1,0,"support","low"
"747",0.36,0.5,2,132,3,0,1,0,"management","low"
"754",0.43,0.52,2,150,3,0,1,0,"product_mng","low"
"755",0.66,0.93,5,253,5,0,1,0,"product_mng","low"
"759",0.39,0.54,2,127,3,0,1,0,"sales","low"
"760",0.41,0.55,2,151,3,0,1,0,"sales","low"
"764",0.39,0.46,2,159,3,0,1,0,"sales","medium"
"769",0.1,0.84,6,293,5,0,1,0,"marketing","medium"
"777",0.1,0.97,6,254,5,0,1,0,"sales","medium"
"778",0.11,0.93,6,294,4,0,1,0,"sales","medium"
"779",0.1,0.92,7,269,4,0,1,0,"sales","medium"
"783",0.72,1,4,245,5,0,1,0,"sales","low"
"785",0.44,0.57,2,131,3,0,1,0,"sales","low"
"787",0.78,0.93,5,225,5,0,1,0,"sales","low"
"792",0.11,0.87,6,301,4,0,1,0,"accounting","low"
"795",0.11,0.79,7,295,4,0,1,0,"hr","low"
"798",0.11,0.91,5,291,4,0,1,0,"technical","low"
"799",0.11,0.93,6,253,4,1,1,0,"technical","low"
"800",0.43,0.5,2,161,3,0,1,0,"technical","low"
"806",0.36,0.62,4,237,2,0,1,0,"technical","medium"
"809",0.71,1,4,300,5,0,1,0,"support","medium"
"814",0.15,0.55,6,139,4,0,1,0,"support","high"
"817",0.84,0.97,5,251,5,0,1,0,"support","medium"
"820",0.45,0.51,2,138,3,0,1,0,"technical","low"
"830",0.38,0.53,2,138,3,0,1,0,"product_mng","low"
"833",0.39,0.48,2,161,3,0,1,0,"IT","low"
"837",0.43,0.56,2,133,3,0,1,0,"RandD","low"
"838",0.09,0.93,6,308,4,0,1,0,"RandD","low"
"841",0.36,0.56,2,138,3,0,1,0,"accounting","medium"
"845",0.39,0.47,2,152,3,0,1,0,"marketing","medium"
"846",0.44,0.51,2,146,3,0,1,0,"marketing","medium"
"847",0.1,0.84,6,253,4,0,1,0,"marketing","medium"
"849",0.1,0.81,6,301,4,1,1,0,"sales","medium"
"851",0.37,0.47,2,151,3,0,1,0,"sales","medium"
"853",0.82,0.89,5,217,5,0,1,0,"sales","high"
"855",0.79,0.9,5,263,5,0,1,0,"sales","medium"
"858",0.11,0.78,6,303,4,0,1,0,"sales","medium"
"864",0.39,0.55,2,146,3,0,1,0,"sales","low"
"866",0.82,0.85,5,218,5,0,1,0,"sales","low"
"867",0.41,0.46,2,128,3,0,1,0,"accounting","low"
"868",0.42,0.56,2,128,3,0,1,0,"accounting","low"
"874",0.78,1,5,220,5,0,1,0,"technical","low"
"890",0.11,0.79,6,281,4,0,1,0,"support","medium"
"892",0.75,0.86,5,237,5,0,1,0,"support","high"
"895",0.73,0.92,5,266,5,0,1,0,"support","medium"
"906",0.76,0.93,5,238,5,0,1,0,"product_mng","low"
"908",0.09,0.86,6,291,4,0,1,0,"product_mng","low"
"909",0.92,1,5,259,5,0,1,0,"IT","low"
"915",0.89,0.87,5,275,6,0,1,0,"marketing","low"
"917",0.11,0.82,6,304,4,1,1,0,"accounting","low"
"922",0.4,0.48,2,138,3,0,1,0,"marketing","medium"
"929",0.77,0.91,5,261,6,0,1,0,"sales","medium"
"932",0.9,0.92,5,154,4,0,1,0,"sales","low"
"934",0.1,0.96,6,254,4,1,1,0,"sales","medium"
"937",0.1,0.95,7,301,4,0,1,0,"sales","low"
"938",0.11,0.8,6,286,4,0,1,0,"sales","low"
"941",0.92,0.92,4,245,5,0,1,0,"sales","low"
"943",0.11,0.89,6,301,4,0,1,0,"accounting","low"
"945",0.11,0.85,7,272,4,0,1,0,"accounting","low"
"946",0.87,1,5,274,5,0,1,0,"hr","low"
"954",0.41,0.71,4,301,5,0,1,0,"technical","low"
"956",0.1,0.91,6,262,5,1,1,0,"technical","low"
"962",0.73,0.83,5,270,5,1,1,0,"support","medium"
"966",0.8,0.63,5,180,5,0,1,0,"support","medium"
"968",0.85,0.92,4,275,5,0,1,0,"support","medium"
"969",0.42,0.54,2,130,3,0,1,0,"support","medium"
"974",0.37,0.47,2,150,3,0,1,0,"technical","medium"
"978",0.11,0.87,5,303,4,0,1,0,"IT","low"
"981",0.45,0.45,2,140,3,0,1,0,"product_mng","low"
"985",0.75,0.86,5,260,5,0,1,0,"IT","low"
"988",0.1,0.79,6,249,4,0,1,0,"RandD","low"
"992",0.76,0.91,4,219,5,0,1,0,"sales","low"
"998",0.86,0.94,5,224,5,0,1,0,"marketing","medium"
"1003",0.42,0.5,2,141,3,0,1,0,"sales","medium"
"1008",0.36,0.52,2,137,3,1,1,0,"sales","medium"
"1011",0.43,0.53,2,152,3,0,1,0,"sales","medium"
"1015",0.44,0.53,2,156,3,0,1,0,"sales","low"
"1019",0.36,0.47,2,136,3,0,1,0,"accounting","low"
"1022",0.8,0.95,3,146,5,0,1,0,"hr","low"
"1026",0.4,0.45,2,142,3,0,1,0,"technical","low"
"1027",0.46,0.53,2,129,3,0,1,0,"technical","low"
"1030",0.1,0.82,6,272,4,0,1,0,"technical","low"
"1033",0.84,0.88,5,237,5,0,1,0,"technical","low"
"1034",0.42,0.56,2,158,3,0,1,0,"technical","low"
"1035",0.1,0.86,6,266,4,1,1,0,"technical","low"
"1036",0.1,0.95,6,256,4,0,1,0,"technical","medium"
"1039",0.89,1,4,237,5,0,1,0,"support","medium"
"1043",0.81,0.94,5,233,6,0,1,0,"support","medium"
"1044",0.77,1,4,249,6,0,1,0,"support","medium"
"1048",0.37,0.49,2,151,3,0,1,0,"technical","high"
"1050",0.74,0.89,5,232,6,0,1,0,"technical","medium"
"1051",0.79,1,4,229,5,1,1,0,"management","medium"
"1053",0.37,0.48,2,129,3,0,1,0,"IT","medium"
"1054",0.09,0.78,6,244,4,0,1,0,"IT","low"
"1057",0.45,0.56,2,143,3,0,1,0,"product_mng","low"
"1065",0.47,0.81,4,133,3,0,1,0,"RandD","low"
"1067",0.43,0.47,2,129,3,0,1,0,"marketing","low"
"1068",0.45,0.57,2,136,3,0,1,0,"sales","low"
"1072",0.9,0.95,5,275,3,0,1,0,"management","low"
"1073",0.53,0.95,6,205,4,0,1,0,"marketing","low"
"1076",0.74,0.89,4,267,5,0,1,0,"sales","medium"
"1077",0.09,0.79,6,276,4,0,1,0,"sales","medium"
"1079",0.46,0.53,2,128,3,0,1,0,"sales","medium"
"1086",0.77,1,4,272,5,0,1,0,"sales","medium"
"1087",0.9,0.86,5,254,5,0,1,0,"sales","high"
"1091",0.38,0.54,2,150,3,0,1,0,"sales","medium"
"1094",0.89,0.91,5,260,5,0,1,0,"sales","low"
"1099",0.42,0.48,2,132,3,0,1,0,"hr","low"
"1103",0.43,0.47,2,130,3,0,1,0,"technical","low"
"1105",0.11,0.89,6,254,4,0,1,0,"technical","low"
"1107",0.44,0.57,2,139,3,0,1,0,"technical","low"
"1108",0.72,0.82,5,269,5,0,1,0,"technical","low"
"1111",0.09,0.82,7,267,4,0,1,0,"technical","low"
"1112",0.44,0.46,2,149,3,0,1,0,"technical","low"
"1115",0.11,0.86,6,279,4,0,1,0,"support","medium"
"1117",0.09,0.85,6,260,4,0,1,0,"support","medium"
"1120",0.44,0.5,2,138,3,0,1,0,"support","medium"
"1121",0.11,0.91,6,278,4,0,1,0,"support","medium"
"1125",0.43,0.52,2,141,3,0,1,0,"technical","medium"
"1131",0.37,0.47,2,149,3,0,1,0,"IT","medium"
"1132",0.37,0.48,2,160,3,0,1,0,"IT","low"
"1133",0.77,0.87,4,150,4,0,1,0,"product_mng","low"
"1135",0.46,0.51,2,155,3,0,1,0,"product_mng","low"
"1136",0.11,0.87,6,291,4,0,1,0,"product_mng","low"
"1137",0.86,0.91,5,265,5,0,1,0,"IT","low"
"1141",0.82,0.83,4,245,5,1,1,0,"sales","low"
"1142",0.46,0.48,2,129,3,0,1,0,"sales","low"
"1143",0.88,1,5,226,6,0,1,0,"marketing","low"
"1144",0.1,0.91,6,286,4,0,1,0,"marketing","low"
"1146",0.37,0.49,2,153,3,0,1,0,"accounting","low"
"1148",0.83,0.95,5,258,5,0,1,0,"technical","low"
"1149",0.39,0.57,2,156,3,0,1,0,"management","low"
"1150",0.77,0.92,5,255,5,0,1,0,"marketing","low"
"1153",0.39,0.55,2,152,3,1,1,0,"sales","medium"
"1157",0.4,0.51,2,156,3,0,1,0,"sales","medium"
"1159",0.57,0.85,4,219,2,1,1,0,"sales","medium"
"1160",0.11,0.95,7,269,5,0,1,0,"sales","medium"
"1163",0.35,0.8,6,281,2,0,1,0,"sales","medium"
"1164",0.78,0.99,5,241,5,0,1,0,"sales","medium"
"1167",0.42,0.54,2,135,3,0,1,0,"sales","medium"
"1172",0.11,0.91,6,302,4,0,1,0,"accounting","low"
"1174",0.11,0.91,6,272,4,0,1,0,"accounting","low"
"1179",0.85,0.89,4,221,5,0,1,0,"technical","low"
"1186",0.43,0.49,2,135,3,0,1,0,"technical","low"
"1188",0.1,0.93,6,299,4,0,1,0,"technical","low"
"1190",0.36,0.51,2,155,3,0,1,0,"support","low"
"1193",0.44,0.51,2,129,3,0,1,0,"support","medium"
"1209",0.1,0.79,7,284,4,0,1,0,"IT","medium"
"1211",0.11,0.83,6,268,4,0,1,0,"product_mng","low"
"1212",0.09,0.77,6,244,4,0,1,0,"product_mng","low"
"1214",0.38,0.55,2,134,3,0,1,0,"IT","low"
"1215",0.09,0.87,7,278,4,0,1,0,"IT","low"
"1216",0.74,0.97,5,238,5,0,1,0,"IT","low"
"1217",0.44,0.56,2,127,3,0,1,0,"IT","low"
"1222",0.75,0.93,5,229,5,0,1,0,"sales","low"
"1224",0.75,0.89,4,228,5,0,1,0,"support","low"
"1226",0.39,0.46,2,127,3,0,1,0,"management","low"
"1227",0.4,0.48,2,142,3,0,1,0,"marketing","low"
"1228",0.39,0.54,2,131,3,0,1,0,"marketing","low"
"1232",0.11,0.98,6,250,4,0,1,0,"sales","medium"
"1233",0.09,0.88,7,265,4,0,1,0,"sales","medium"
"1236",0.4,0.49,2,140,3,0,1,0,"sales","medium"
"1242",0.43,0.53,2,148,3,0,1,0,"sales","medium"
"1243",0.1,0.85,6,297,5,0,1,0,"sales","high"
"1246",0.1,0.93,6,288,4,0,1,0,"sales","medium"
"1249",0.41,0.54,2,138,3,0,1,0,"accounting","low"
"1252",0.43,0.57,2,151,3,1,1,0,"hr","low"
"1256",0.39,0.47,2,142,3,0,1,0,"technical","low"
"1257",0.41,0.48,2,126,3,0,1,0,"technical","low"
"1260",0.45,0.48,2,138,3,0,1,0,"technical","low"
"1262",0.44,0.56,2,145,3,0,1,0,"technical","low"
"1263",0.11,0.84,6,252,4,0,1,0,"technical","low"
"1266",0.1,0.92,6,285,4,0,1,0,"technical","low"
"1267",0.45,0.53,2,149,3,0,1,0,"support","low"
"1270",0.45,0.55,2,129,3,0,1,0,"support","medium"
"1273",0.45,0.46,2,142,3,0,1,0,"support","medium"
"1276",0.1,0.83,6,283,5,0,1,0,"support","medium"
"1279",0.38,0.56,2,148,3,0,1,0,"technical","medium"
"1291",0.39,0.51,2,139,3,0,1,0,"IT","low"
"1294",0.72,1,2,240,2,0,1,0,"RandD","low"
"1296",0.38,0.5,2,139,3,0,1,0,"RandD","low"
"1300",0.89,0.89,5,262,5,0,1,0,"accounting","low"
"1301",0.1,0.97,7,284,4,0,1,0,"support","low"
"1303",0.09,0.78,7,290,4,0,1,0,"management","low"
"1306",0.62,0.77,5,227,4,0,1,0,"marketing","low"
"1309",0.09,0.94,6,266,4,0,1,0,"sales","medium"
"1310",0.56,0.75,5,236,2,0,1,0,"sales","medium"
"1316",0.11,0.81,6,260,4,0,1,0,"sales","medium"
"1322",0.62,0.89,3,131,4,0,1,0,"sales","low"
"1323",0.78,0.86,4,249,5,0,1,0,"sales","medium"
"1325",0.76,0.82,4,254,5,1,1,0,"sales","medium"
"1326",0.42,0.53,2,131,3,0,1,0,"accounting","medium"
"1329",0.1,0.96,7,301,4,0,1,0,"hr","low"
"1332",0.09,0.86,6,297,4,0,1,0,"hr","low"
"1333",0.1,0.8,6,248,4,0,1,0,"technical","low"
"1339",0.51,0.79,4,134,3,0,1,0,"technical","low"
"1347",0.73,0.95,4,223,6,0,1,0,"support","low"
"1368",0.4,0.45,2,140,3,0,1,0,"IT","low"
"1384",0.43,0.46,2,145,3,0,1,0,"sales","low"
"1385",0.11,0.91,6,279,4,0,1,0,"sales","low"
"1386",0.4,0.46,2,146,3,0,1,0,"sales","low"
"1390",0.4,0.49,2,151,3,0,1,0,"sales","medium"
"1396",0.45,0.51,2,156,3,0,1,0,"sales","medium"
"1397",0.2,0.7,6,281,5,0,1,0,"sales","medium"
"1399",0.39,0.55,2,156,3,0,1,0,"sales","high"
"1401",0.45,0.47,2,136,3,0,1,0,"sales","medium"
"1406",0.39,0.57,2,130,3,0,1,0,"hr","low"
"1407",0.15,0.62,4,257,3,0,1,0,"hr","low"
"1411",0.9,0.98,5,271,5,0,1,0,"technical","low"
"1412",0.32,0.6,2,280,4,0,1,0,"technical","low"
"1414",0.83,0.98,4,254,5,0,1,0,"technical","low"
"1422",0.86,0.93,5,241,5,1,1,0,"support","low"
"1423",0.1,0.82,6,269,4,0,1,0,"support","low"
"1424",0.39,0.49,2,146,3,0,1,0,"support","low"
"1425",0.45,0.48,2,149,3,0,1,0,"support","low"
"1426",0.1,0.94,7,287,4,0,1,0,"support","medium"
"1427",0.36,0.55,2,138,3,0,1,0,"support","medium"
"1431",0.43,0.52,2,156,3,0,1,0,"support","medium"
"1433",0.91,0.99,5,265,5,1,1,0,"technical","medium"
"1437",0.43,0.57,2,142,3,0,1,0,"IT","medium"
"1439",0.1,0.89,7,285,4,0,1,0,"IT","low"
"1444",0.11,0.88,7,305,4,0,1,0,"product_mng","low"
"1445",0.41,0.48,2,141,3,0,1,0,"IT","low"
